Ensembl gene ID,Description_Clarke.et.al._2
ENSOARG00000006420,TPA: beta-defensin 130-like
ENSOARG00000006422,zinc finger protein 705A-like
ENSOARG00000006424,olfactory receptor 52R1
ENSOARG00000006425,zinc finger protein 705A-like
ENSOARG00000006430,defensin beta 107A
ENSOARG00000006433,DEFB105
ENSOARG00000006436,
ENSOARG00000006437,beta-defensin 15-like
ENSOARG00000006438,"hypothetical protein, conserved"
ENSOARG00000006440,olfactory receptor 52R1-like
ENSOARG00000006442,RecName: Full=Beta-defensin 2; Short=BD-2; AltName: Full=sBD2; Flags: Precursor
ENSOARG00000006444,
ENSOARG00000006449,caltrin
ENSOARG00000006457,olfactory receptor 51F1-like
ENSOARG00000006463,late cornified envelope protein 3B-like
ENSOARG00000006467,"TSR2, ribosome maturation factor"
ENSOARG00000006468,chymotrypsinogen B
ENSOARG00000006469,"short palate, lung and nasal epithelium carcinoma-associated protein 2B-like"
ENSOARG00000006472,UPF0235 protein C15orf40 homolog
ENSOARG00000006475,olfactory receptor family 51 subfamily F member 2
ENSOARG00000006483,hypothetical protein M91_08020
ENSOARG00000006490,olfactory receptor family 51 subfamily F member 2
ENSOARG00000006496,beta-defensin 109tr1
ENSOARG00000006501,hypothetical protein M91_02115
ENSOARG00000006502,sperm mitochondrial-associated cysteine-rich protein
ENSOARG00000006505,olfactory receptor family 51 subfamily F member 2
ENSOARG00000006507,PAX-interacting protein 1
ENSOARG00000006510,
ENSOARG00000006525,latherin
ENSOARG00000006527,LOW QUALITY PROTEIN: killer cell immunoglobulin-like receptor 3DL1
ENSOARG00000006529,"corepressor interacting with RBPJ, 1"
ENSOARG00000006531,LOW QUALITY PROTEIN: uncharacterized protein LOC106669198
ENSOARG00000006537,uncharacterized protein C1orf159 homolog
ENSOARG00000006545,LOW QUALITY PROTEIN: lymphocyte antigen 6 complex locus protein G6f
ENSOARG00000006552,small proline-rich protein 2E-like
ENSOARG00000006559,
ENSOARG00000006561,chymotrypsinogen A
ENSOARG00000006564,
ENSOARG00000006565,uncharacterized protein LOC101141533
ENSOARG00000006570,TBC1 domain family member 10A
ENSOARG00000006571,tubulin alpha-1 chain-like
ENSOARG00000006572,testis expressed 40
ENSOARG00000006579,OR52M1
ENSOARG00000006585,serpin B3-like
ENSOARG00000006588,uncharacterized protein LOC106601902
ENSOARG00000006592,uncharacterized protein LOC105604856
ENSOARG00000006595,DSCAM
ENSOARG00000006600,chymotrypsinogen B
ENSOARG00000006602,endogenous retrovirus group K member 25 Env polyprotein-like
ENSOARG00000006605,
ENSOARG00000006608,LOW QUALITY PROTEIN: probable G-protein coupled receptor 62
ENSOARG00000006612,olfactory receptor 551
ENSOARG00000006613,AP-2 complex subunit mu 1-like protein
ENSOARG00000006615,poly [ADP-ribose] polymerase 3
ENSOARG00000006617,nucleolin-like
ENSOARG00000006628,OR51G2
ENSOARG00000006629,
ENSOARG00000006632,Uncharacterised protein
ENSOARG00000006635,uncharacterized protein LOC105604856
ENSOARG00000006641,Retrovirus-related Pol polyprotein LINE-1
ENSOARG00000006645,uncharacterized protein LOC102408196
ENSOARG00000006646,OR52B4
ENSOARG00000006647,hypothetical protein M91_14419
ENSOARG00000006649,
ENSOARG00000006651,LOW QUALITY PROTEIN: poly [ADP-ribose] polymerase 3
ENSOARG00000006654,proline-rich transmembrane protein 1-like
ENSOARG00000006655,
ENSOARG00000006659,prostaglandin reductase 1
ENSOARG00000006661,cadherin-23
ENSOARG00000006669,serpin B3-like
ENSOARG00000006671,putative RNA polymerase II subunit A C-terminal domain phosphatase SSU72-like protein 1-like
ENSOARG00000006672,zinc finger protein 483
ENSOARG00000006680,translationally-controlled tumor protein
ENSOARG00000006682,putative RNA polymerase II subunit A C-terminal domain phosphatase SSU72-like protein 1-like
ENSOARG00000006683,Retrovirus-related Pol polyprotein LINE-1
ENSOARG00000006685,
ENSOARG00000006686,phosphatidylinositol 4-kinase type 2 beta
ENSOARG00000006689,Retrovirus-related Pol polyprotein LINE-1
ENSOARG00000006691,
ENSOARG00000006694,NADH:ubiquinone oxidoreductase subunit C2
ENSOARG00000006695,Uncharacterised protein
ENSOARG00000006696,olfactory receptor family 52 subfamily K member 1
ENSOARG00000006700,matrix remodeling associated 7
ENSOARG00000006702,
ENSOARG00000006708,hypothetical protein M91_10832
ENSOARG00000006713,"lymphocyte antigen 6 complex, locus G5B"
ENSOARG00000006716,ectonucleoside triphosphate diphosphohydrolase 1
ENSOARG00000006717,craniofacial development protein 2-like
ENSOARG00000006718,T-lymphocyte surface antigen Ly-9-like
ENSOARG00000006720,60S ribosomal protein L35a
ENSOARG00000006724,proteasome subunit alpha 1
ENSOARG00000006725,
ENSOARG00000006727,serpin B4-like
ENSOARG00000006733,retinitis pigmentosa 9 protein homolog
ENSOARG00000006734,SLAM family member 8-like
ENSOARG00000006743,protocadherin-8
ENSOARG00000006747,hypothetical protein M91_17891
ENSOARG00000006750,uncharacterized protein LOC105614158
ENSOARG00000006751,olfactory receptor family 2 subfamily AT member 4
ENSOARG00000006761,F-box only protein 27
ENSOARG00000006764,MLV-related proviral Env polyprotein-like
ENSOARG00000006767,LOW QUALITY PROTEIN: cerebellar degeneration-related protein 2
ENSOARG00000006768,SLAM family member 5-like
ENSOARG00000006769,
ENSOARG00000006770,olfactory receptor family 2 subfamily AT member 4
ENSOARG00000006772,uncharacterized protein LOC105081877
ENSOARG00000006776,
ENSOARG00000006777,transmembrane protein 170A
ENSOARG00000006781,40S ribosomal protein S24-like
ENSOARG00000006782,Membrane magnesium transporter 1
ENSOARG00000006784,NCBP interacting protein 1
ENSOARG00000006785,carbohydrate sulfotransferase 6
ENSOARG00000006790,schlafen family member 11
ENSOARG00000006795,sterol-C5-desaturase
ENSOARG00000006800,SLAM family member 9-like
ENSOARG00000006803,ankyrin repeat and BTB/POZ domain-containing protein 1
ENSOARG00000006809,CD48 antigen-like
ENSOARG00000006811,"acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase"
ENSOARG00000006816,
ENSOARG00000006818,ribosomal protein S15a
ENSOARG00000006821,40S ribosomal protein S3a isoform 1
ENSOARG00000006832,
ENSOARG00000006833,
ENSOARG00000006834,ferritin light chain
ENSOARG00000006835,family with sequence similarity 107 member B
ENSOARG00000006841,ectonucleoside triphosphate diphosphohydrolase 1
ENSOARG00000006847,transmembrane protein 231
ENSOARG00000006848,ATP-dependent (S)-NAD(P)H-hydrate dehydratase
ENSOARG00000006853,
ENSOARG00000006861,proline rich 22
ENSOARG00000006865,ATOX1
ENSOARG00000006869,teneurin-3-like
ENSOARG00000006878,
ENSOARG00000006882,homeobox B8
ENSOARG00000006886,IQ motif containing F3
ENSOARG00000006887,
ENSOARG00000006889,plasminogen activator inhibitor 2
ENSOARG00000006893,Calcyphosin
ENSOARG00000006894,
ENSOARG00000006904,olfactory receptor family 56 subfamily A member 4
ENSOARG00000006909,IQ domain-containing protein F5-like
ENSOARG00000006911,schlafen family member 12 like
ENSOARG00000006917,OR56A3
ENSOARG00000006921,OR10T2
ENSOARG00000006922,probable fibrosin-1
ENSOARG00000006936,
ENSOARG00000006940,
ENSOARG00000006942,sonic hedgehog
ENSOARG00000006945,
ENSOARG00000006948,
ENSOARG00000006955,OR10K1
ENSOARG00000006961,olfactory receptor 52E8
ENSOARG00000006970,melanoma inhibitory activity
ENSOARG00000006972,protein SET-like
ENSOARG00000006973,
ENSOARG00000006978,"RAB4B, member RAS oncogene family"
ENSOARG00000006980,
ENSOARG00000006984,unnamed protein product
ENSOARG00000006991,minichromosome maintenance complex component 2
ENSOARG00000006999,LOW QUALITY PROTEIN: uncharacterized protein LOC105613868
ENSOARG00000007001,telomeric repeat-binding factor 2-interacting protein 1
ENSOARG00000007003,hypothetical protein M91_15086
ENSOARG00000007004,LOW QUALITY PROTEIN: MLV-related proviral Env polyprotein-like
ENSOARG00000007005,
ENSOARG00000007015,cytochrome b5 reductase like
ENSOARG00000007018,NADH:ubiquinone oxidoreductase subunit A11
ENSOARG00000007019,
ENSOARG00000007020,
ENSOARG00000007022,
ENSOARG00000007028,egl nine homolog 2
ENSOARG00000007032,prohibitin
ENSOARG00000007037,olfactory receptor 2M3-like
ENSOARG00000007038,
ENSOARG00000007039,agrin
ENSOARG00000007041,zinc finger protein 384
ENSOARG00000007043,olfactory receptor 2M3-like
ENSOARG00000007044,otoconin-90
ENSOARG00000007052,
ENSOARG00000007054,putative olfactory receptor 56B2
ENSOARG00000007059,
ENSOARG00000007060,uncharacterized protein LOC106502455
ENSOARG00000007062,cytochrome P450 2F2-like
ENSOARG00000007064,
ENSOARG00000007068,putative olfactory receptor 56B2
ENSOARG00000007072,COPB1
ENSOARG00000007083,
ENSOARG00000007084,
ENSOARG00000007086,Fc receptor-like protein 2-like
ENSOARG00000007087,uncharacterized protein LOC101118645
ENSOARG00000007091,envelope glycoprotein
ENSOARG00000007092,regulator of cell cycle RGCC
ENSOARG00000007098,OR52D1
ENSOARG00000007099,tubulin beta-3 chain
ENSOARG00000007101,serotonin N-acetyltransferase-like
ENSOARG00000007103,serine protease 44-like
ENSOARG00000007111,kelch repeat and BTB domain containing 4
ENSOARG00000007113,OR52H1
ENSOARG00000007116,
ENSOARG00000007117,condensin-2 complex subunit H2
ENSOARG00000007119,
ENSOARG00000007121,
ENSOARG00000007123,proline rich 22
ENSOARG00000007125,chloride nucleotide-sensitive channel 1A
ENSOARG00000007128,cytochrome P450 2A13-like
ENSOARG00000007131,OR52H1
ENSOARG00000007133,LOW QUALITY PROTEIN: olfactory receptor 56-like
ENSOARG00000007135,pregnancy-associated glycoprotein 4-like
ENSOARG00000007142,single-stranded DNA-binding protein 3
ENSOARG00000007147,olfactory receptor 2V2-like
ENSOARG00000007149,OR52H1
ENSOARG00000007155,proline-rich protein 23B-like
ENSOARG00000007156,sorting nexin 29
ENSOARG00000007157,serine protease 44-like
ENSOARG00000007158,PITH domain containing 1
ENSOARG00000007159,asparaginase
ENSOARG00000007162,serine protease 44-like
ENSOARG00000007166,60 kDa lysophospholipase-like
ENSOARG00000007170,
ENSOARG00000007171,CYP2G1
ENSOARG00000007175,allograft inflammatory factor 1 like
ENSOARG00000007180,helicase SRCAP
ENSOARG00000007182,C4b-binding protein beta chain
ENSOARG00000007190,hypothetical protein EGK_12061
ENSOARG00000007191,"zinc finger protein 36, C3H1 type-like 2"
ENSOARG00000007192,BPI fold-containing family B member 1-like
ENSOARG00000007193,
ENSOARG00000007195,UBAP1-MVB12-associated (UMA)-domain containing protein 1
ENSOARG00000007197,kinesin family member 26A
ENSOARG00000007198,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D-like"
ENSOARG00000007201,sodium- and chloride-dependent creatine transporter 1
ENSOARG00000007208,tight junction-associated protein 1
ENSOARG00000007211,LOW QUALITY PROTEIN: cytochrome P450 2B4-like
ENSOARG00000007212,olfactory receptor 6N1-like
ENSOARG00000007215,serine/threonine-protein phosphatase CPPED1
ENSOARG00000007218,OR51I2
ENSOARG00000007219,LOW QUALITY PROTEIN: translational activator of cytochrome c oxidase 1-like
ENSOARG00000007221,
ENSOARG00000007222,kinesin family member 26A
ENSOARG00000007224,single-stranded DNA-binding protein 3-like
ENSOARG00000007231,
ENSOARG00000007235,OR51I2
ENSOARG00000007239,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, isoform CRA_g"
ENSOARG00000007243,olfactory receptor 6N2-like
ENSOARG00000007253,serine/threonine-protein phosphatase CPPED1
ENSOARG00000007260,protein shisa-9-like
ENSOARG00000007262,LOW QUALITY PROTEIN: protein FAM151A
ENSOARG00000007267,T-cell surface glycoprotein CD1a-like
ENSOARG00000007273,Metalloproteinase inhibitor 1
ENSOARG00000007275,LOW QUALITY PROTEIN: selenophosphate synthetase 2
ENSOARG00000007280,SEC14-like protein 2
ENSOARG00000007282,T-cell surface glycoprotein CD1b-1
ENSOARG00000007287,shisa family member 9
ENSOARG00000007290,serine protease 46-like
ENSOARG00000007291,T-cell surface glycoprotein CD1b-3
ENSOARG00000007292,olfactory receptor 51J1-like
ENSOARG00000007295,Olfactory receptor 10J1
ENSOARG00000007297,
ENSOARG00000007303,unnamed protein product
ENSOARG00000007304,transcription factor HES-4
ENSOARG00000007305,Chromobox protein like protein 1
ENSOARG00000007308,OR51I1
ENSOARG00000007316,TPA: aminopeptidase O-like
ENSOARG00000007317,LOW QUALITY PROTEIN: motor neuron and pancreas homeobox protein 1
ENSOARG00000007319,glycerophosphodiester phosphodiesterase domain-containing protein 4-like
ENSOARG00000007322,T-cell surface glycoprotein CD1a
ENSOARG00000007325,olfactory receptor family 51 subfamily M member 1
ENSOARG00000007327,impact RWD domain protein
ENSOARG00000007328,ribosomal protein S14
ENSOARG00000007333,LOW QUALITY PROTEIN: von Willebrand factor D and EGF domain-containing protein
ENSOARG00000007335,MHC class II antigen DY alpha
ENSOARG00000007336,LOW QUALITY PROTEIN: olfactory receptor 10R2-like
ENSOARG00000007341,LOW QUALITY PROTEIN: von Willebrand factor D and EGF domain-containing protein
ENSOARG00000007342,olfactory receptor family 51 subfamily M member 1
ENSOARG00000007347,asparaginase
ENSOARG00000007351,KIAA0391
ENSOARG00000007358,
ENSOARG00000007359,storkhead-box protein 1-like
ENSOARG00000007361,glycerophosphodiester phosphodiesterase domain-containing protein 4-like
ENSOARG00000007368,LOW QUALITY PROTEIN: splicing factor 3B subunit 4-like
ENSOARG00000007369,heat shock 70 kDa protein 14
ENSOARG00000007370,
ENSOARG00000007373,metastasis associated 1 family member 3
ENSOARG00000007375,"rano class II histocompatibility antigen, A beta chain"
ENSOARG00000007380,endogenous retrovirus group K member 9 Env polyprotein
ENSOARG00000007383,60S ribosomal protein L36
ENSOARG00000007384,olfactory receptor 13C2-like
ENSOARG00000007389,"class I histocompatibility antigen, Gogo-C*0202 alpha chain-like"
ENSOARG00000007396,
ENSOARG00000007402,olfactory receptor family 52 subfamily A member 5
ENSOARG00000007404,maestro heat like repeat family member 7
ENSOARG00000007407,
ENSOARG00000007409,ribonuclease inhibitor
ENSOARG00000007410,LOW QUALITY PROTEIN: putative MAGE domain-containing protein MAGEA13P
ENSOARG00000007413,glycerophosphodiester phosphodiesterase domain-containing protein 4-like
ENSOARG00000007414,aldo-keto reductase family 1 member B
ENSOARG00000007415,olfactory receptor family 52 subfamily A member 1
ENSOARG00000007421,
ENSOARG00000007423,vomeromodulin-like
ENSOARG00000007425,signal regulatory protein alpha
ENSOARG00000007427,
ENSOARG00000007430,olfactory receptor 2T4-like
ENSOARG00000007431,OR51V1
ENSOARG00000007433,
ENSOARG00000007441,envelope glycoprotein (endogenous virus)
ENSOARG00000007442,LOW QUALITY PROTEIN: laminin subunit beta-4
ENSOARG00000007446,glutathione S-transferase omega 1
ENSOARG00000007450,olfactory receptor family 52 subfamily A member 5
ENSOARG00000007453,
ENSOARG00000007463,cytochrome c oxidase subunit 7A2 like
ENSOARG00000007466,
ENSOARG00000007467,TPA: signal-regulatory protein alpha-like
ENSOARG00000007474,laminin subunit beta 4
ENSOARG00000007477,ASC1
ENSOARG00000007479,OR51V1
ENSOARG00000007482,uncharacterized protein C1orf43 homolog
ENSOARG00000007490,annexin A5-like
ENSOARG00000007499,olfactory receptor family 51 subfamily A member 4
ENSOARG00000007504,glutathione S-transferase omega 1
ENSOARG00000007505,LOW QUALITY PROTEIN: laminin subunit beta-4
ENSOARG00000007506,neuron-specific protein family member 1
ENSOARG00000007517,olfactory receptor 51H1-like
ENSOARG00000007518,cysteine sulfinic acid decarboxylase
ENSOARG00000007519,PAG17 protein
ENSOARG00000007520,"protein kinase (cAMP-dependent, catalytic) inhibitor alpha"
ENSOARG00000007523,ATP synthase mitochondrial F1 complex assembly factor 1
ENSOARG00000007532,OR51G2
ENSOARG00000007534,laccase domain containing 1
ENSOARG00000007536,receptor-type tyrosine-protein phosphatase N2
ENSOARG00000007544,"cytochrome b-c1 complex subunit 6, mitochondrial"
ENSOARG00000007547,LOW QUALITY PROTEIN: TSC22 domain family protein 1
ENSOARG00000007552,acyl-coenzyme A amino acid N-acyltransferase 2-like
ENSOARG00000007554,olfactory receptor 51L1-like
ENSOARG00000007563,LOW QUALITY PROTEIN: 40S ribosomal protein SA
ENSOARG00000007569,olfactory receptor 51L1-like
ENSOARG00000007572,brain expressed X-linked 2
ENSOARG00000007573,antigen peptide transporter 2
ENSOARG00000007577,
ENSOARG00000007583,olfactory receptor family 52 subfamily A member 1
ENSOARG00000007584,LOW QUALITY PROTEIN: myeloid cell nuclear differentiation antigen-like
ENSOARG00000007587,Retrovirus-related Pol polyprotein LINE-1
ENSOARG00000007595,potassium voltage-gated channel subfamily E regulatory subunit 1
ENSOARG00000007596,olfactory receptor family 52 subfamily K member 1
ENSOARG00000007597,40S ribosomal protein SA-like
ENSOARG00000007598,transmembrane protein with EGF like and two follistatin like domains 1
ENSOARG00000007599,fibrinogen silencer binding protein
ENSOARG00000007600,LOW QUALITY PROTEIN: tyrosine-protein phosphatase non-receptor type substrate 1-like
ENSOARG00000007603,interferon-activable protein 203-like
ENSOARG00000007606,granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like
ENSOARG00000007611,hypothetical protein CLUG_04850
ENSOARG00000007613,olfactory receptor family 52 subfamily A member 1
ENSOARG00000007615,carcinoembryonic antigen-related cell adhesion molecule 6
ENSOARG00000007617,translationally-controlled tumor protein-like
ENSOARG00000007620,solute carrier family 25 member 30
ENSOARG00000007624,
ENSOARG00000007628,LOW QUALITY PROTEIN: NUT family member 2G
ENSOARG00000007631,protein SOGA3
ENSOARG00000007634,tyrosine-protein phosphatase non-receptor type substrate 1-like
ENSOARG00000007638,LOW QUALITY PROTEIN: aldo-keto reductase family 1 member B10
ENSOARG00000007642,OR52K2
ENSOARG00000007643,receptor-type tyrosine-protein phosphatase N2
ENSOARG00000007645,F-box/WD repeat-containing protein 12-like
ENSOARG00000007646,
ENSOARG00000007652,TMPRSS11E
ENSOARG00000007653,olfactory receptor family 52 subfamily E member 4
ENSOARG00000007654,
ENSOARG00000007662,scaffold attachment factor B1
ENSOARG00000007669,
ENSOARG00000007679,solute carrier family 8 member A1
